match_id,gold_diff,xp_diff,cs_diff,kills_diff,tower_diff,gold_diff_top,xp_diff_top,cs_diff_top,gold_diff_jungle,xp_diff_jungle,cs_diff_jungle,gold_diff_mid,xp_diff_mid,cs_diff_mid,gold_diff_adc,xp_diff_adc,cs_diff_adc,gold_diff_support,xp_diff_support,cs_diff_support,blue_dragons,red_dragons,blue_voidgrubs,red_voidgrubs,blue_plates,red_plates,plates_diff,first_blood,blue_avg_champion_wr,red_avg_champion_wr,synergy_diff,blue_has_duo,red_has_duo,blue_duo_impact,red_duo_impact,duo_impact_diff,blue_wins
BR1_3222474346,-989,-1118,17,-3,0,-663,-347,20,-130,-421,-8,1014,376,31,-1048,-160,-24,-162,-566,-2,0,0,0,0,0,0,0,0,0.5509370988446726,0.606993006993007,-0.05605590814833439,1,1,0.201984126984127,-0.290518018018018,0.492502145002145,1
BR1_3222492840,2601,890,27,4,0,1129,648,31,885,318,-2,735,805,2,-117,-236,8,-31,-645,-12,0,1,3,0,0,0,0,1,0.5367773279352227,0.47574085684430506,0.06103647109091764,1,1,-0.06793029871977238,-0.13413851767510307,0.06620821895533069,1
BR1_3222509605,-2553,-2576,-13,-4,0,-907,-1318,-16,-253,-195,0,-478,-383,9,-485,-213,1,-430,-467,-7,0,0,3,0,0,0,0,0,0.45289817681458544,0.5295868347338935,-0.07668865791930801,1,1,-0.013157894736842035,0.11309377559377559,-0.12625167033061763,0
BR1_3222527713,-1431,-962,-13,-3,0,-8,5,0,214,531,20,426,82,1,-2318,-928,-28,255,-652,-6,0,1,3,0,0,0,0,0,0.48985219319577605,0.5268434112576726,-0.03699121806189659,1,1,-0.32579286365709076,0.3027432027432027,-0.6285360664002935,0
BR1_3223239788,1101,-124,15,2,0,286,-368,7,-381,-508,-15,451,232,12,453,-199,-4,292,719,15,0,0,1,2,0,0,0,0,0.5332624584717609,0.5655835667600374,-0.0323211082882765,1,1,-0.01666666666666672,-0.02381381381381384,0.00714714714714712,0
BR1_3223296252,885,968,3,3,0,1956,2108,28,521,304,10,-513,-626,-6,-1214,-345,-20,135,-473,-9,0,1,0,0,0,0,0,0,0.5248476658340578,0.5123957621326042,0.01245190370145366,1,1,-0.08958333333333335,0.2375219375219375,-0.32710527085527086,0
BR1_3223320390,800,918,63,0,0,1195,1192,49,382,-89,1,929,1014,30,-837,-562,-14,-869,-637,-3,0,0,3,0,0,0,0,1,0.49166683847690223,0.5481432360742705,-0.05647639759736828,1,1,0.24466200466200466,-0.3485042735042735,0.5931662781662781,1
BR1_3223361766,-307,-1468,-7,-3,0,241,33,17,-741,-573,-8,-473,-286,-22,1067,334,17,-401,-976,-11,0,0,3,0,0,0,0,1,0.5032874493927125,0.517898630181824,-0.0146111807891115,1,1,0.012121212121212088,-0.01666666666666672,0.028787878787878807,1
BR1_3223450108,-671,-774,14,-2,0,-596,-1124,-1,-121,-437,-10,844,1157,14,-160,55,5,-638,-425,6,0,1,0,3,0,0,0,0,0.45957836281365694,0.5192101832155356,-0.059631820401878644,1,0,-0.3445121951219512,0.0,-0.3445121951219512,0
BR1_3223463981,37,755,-5,1,0,-153,477,-7,449,747,14,849,6,-19,-152,155,10,-956,-630,-3,0,0,0,3,0,0,0,1,0.5494285714285715,0.5138823529411765,0.03554621848739503,1,0,-0.11727065826330534,0.0,-0.11727065826330534,0
BR1_3223609328,5126,3635,79,8,0,1425,1634,18,1389,879,16,1273,814,50,126,665,6,913,-357,-11,1,0,2,1,0,0,0,1,0.4775293579380814,0.44520979020979023,0.03231956772829114,1,1,0.07275132275132275,-0.17055555555555557,0.2433068783068783,1
BR1_3223790919,-1437,-1240,-43,0,0,-2313,-959,-62,-122,-121,1,138,-432,10,552,679,6,308,-407,2,0,0,0,3,0,0,0,1,0.5667936507936508,0.4627224270745865,0.10407122371906435,1,0,-0.016666666666666607,0.0,-0.016666666666666607,1
BR1_3223811732,-1250,-581,-32,-1,0,-890,-842,-31,-173,257,0,-451,-60,-22,-377,-586,14,641,650,7,0,1,0,3,0,0,0,0,0.487121650279545,0.5053511705685618,-0.01822952028901681,0,0,0.0,0.0,0.0,0
BR1_3224069896,-1871,-435,-5,-4,0,-1788,-966,-26,-70,686,24,-1879,-1018,-26,1458,1219,24,408,-356,-1,0,1,3,0,0,0,0,1,0.4280180248601301,0.5059019607843138,-0.07788393592418374,0,1,0.0,-0.01666666666666672,0.01666666666666672,0
BR1_3224094131,-448,-137,-25,-2,0,-1564,-1023,-36,367,675,12,476,629,8,597,-40,-2,-324,-378,-7,1,0,0,3,0,0,0,1,0.5292594012833295,0.46396650717703347,0.06529289410629602,1,1,0.10605089355089356,-0.01666666666666672,0.12271756021756028,1
BR1_3224099307,-1004,-1954,-5,-5,0,-1372,-2223,-24,-425,-87,-3,118,161,15,485,-2,-1,190,197,8,0,1,0,0,0,0,0,0,0.4966910299003322,0.5049683408960517,-0.008277310995719489,1,1,0.050580800580800535,0.13247863247863245,-0.08189783189783192,0
BR1_3224117438,-539,-348,9,-1,0,-1598,-452,-11,484,-148,3,737,311,12,645,378,6,-807,-437,-1,0,0,3,0,0,0,0,0,0.47431765935214215,0.5627030812324929,-0.08838542188035076,1,1,0.21216738716738717,-0.00833333333333336,0.22050072050072053,1
BR1_3224144721,-1144,-1848,-18,-6,0,1145,883,21,435,-148,-3,154,157,10,-2123,-1600,-32,-755,-1140,-14,1,0,0,0,0,0,0,0,0.48705424663233987,0.44746867167919807,0.0395855749531418,1,1,-0.03881766381766388,0.05510204081632652,-0.09391970463399041,0
BR1_3224159067,4350,1949,34,7,0,52,157,-27,775,-231,0,852,666,31,1617,876,30,1054,481,0,0,0,3,0,0,0,0,1,0.4630908033100799,0.5103390127202708,-0.04724820941019092,1,1,0.2634259259259259,-0.045238095238095244,0.30866402116402114,1
BR1_3224168857,2865,2871,72,4,0,1043,1141,17,1105,959,23,1421,466,19,-327,362,12,-377,-57,1,1,0,3,0,0,0,0,1,0.569946298427311,0.49057784320942205,0.07936845521788899,1,1,0.41171482838149515,-0.21428571428571427,0.6260005426672094,1
